Range  distance from back wall of shooter to center of HUB.,,,,,,,Accuracy = ,99.80%,,
,,,,,,,,,,
"Compression
inches","Launch
Angle","Range
inches","Hopper
RPM","Kicker
RPM","Far Shooter
RPM","Near Shooter
RPM","Number
Attempted","Number
Scored","Range
meters","Near:Far
Ratio"
1.00,59,120,5000,5000,2900,2639,20,20,3.048,0.91
1.00,59,130,5000,5000,3000,2730,20,20,3.302,0.91
1.00,59,140,5000,5000,3100,2821,20,19,3.556,0.91
1.00,59,150,5000,5000,3250,2912,20,20,3.810,0.90
1.00,59,160,5000,5000,3300,3003,20,20,4.064,0.91
1.00,59,170,5000,5000,3400,3094,20,20,4.318,0.91
1.00,59,180,5000,5000,3500,3185,20,20,4.572,0.91
1.00,59,190,5000,5000,3650,3321,20,20,4.826,0.91
1.00,59,200,5000,5000,3750,3412,20,20,5.080,0.91
1.00,59,210,5000,5000,3800,3458,20,20,5.334,0.91
1.00,59,90,5000,5000,2650,2411,20,20,2.286,0.91
1.00,59,100,5000,5000,2700,2457,20,20,2.540,0.91
1.00,59,110,5000,5000,2800,2548,20,20,2.794,0.91
1.00,59,120,5000,5000,2900,2639,20,20,3.048,0.91
1.00,59,120,5000,5000,2900,2639,20,20,3.048,0.91
1.00,59,120,5000,5000,2900,2639,40,40,3.048,0.91
1.00,59,120,5000,5000,2900,2639,40,40,3.048,0.91
1.00,59,120,5000,5000,2900,2639,40,40,3.048,0.91
1.00,59,120,5000,5000,2900,2639,39,39,3.048,0.91
1.00,59,120,5000,5000,2900,2639,39,39,3.048,0.91
,,,,,,,,,,
,,,,,,Totals,498,497,,
